OBJECTID;CODIGO;TIPO_CONST;TIPO_DOMIN;NUMERO_PIS;IDENTIFICA;GRIDCODE;Area_ha;Amenaza;Grado;Escenario;Escala
71;544980101000001830002500000002;CONVENCIONAL;PRIVADO;1;A;3;0,00497957000;Alta;3;Avenida Torrencial;1:2.000
72;544980101000001830001500000001;CONVENCIONAL;PRIVADO;1;A;3;0,00298476000;Alta;3;Avenida Torrencial;1:2.000
73;544980101000001830002000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00831459000;Alta;3;Avenida Torrencial;1:2.000
74;544980101000001780001000000000;CONVENCIONAL;PRIVADO;1;C;3;0,00827443000;Alta;3;Avenida Torrencial;1:2.000
75;544980101000001780001000000000;CONVENCIONAL;PRIVADO;1;C;3;0,00008192140;Alta;3;Avenida Torrencial;1:2.000
76;544980101000001720008000000000;CONVENCIONAL;PRIVADO;1;B;3;0,00319578000;Alta;3;Avenida Torrencial;1:2.000
77;544980101000001680002000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00099174800;Alta;3;Avenida Torrencial;1:2.000
78;544980101000001680015000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00977733000;Alta;3;Avenida Torrencial;1:2.000
79;544980101000001680017000000000;CONVENCIONAL;PRIVADO;1;A;3;0,03255220000;Alta;3;Avenida Torrencial;1:2.000
80;544980101000001680016000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00924333000;Alta;3;Avenida Torrencial;1:2.000
81;544980101000001680016000000000;CONVENCIONAL;PRIVADO;1;B;3;0,00171486000;Alta;3;Avenida Torrencial;1:2.000
82;544980101000001680016000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00550448000;Alta;3;Avenida Torrencial;1:2.000
83;544980101000001680016000000000;CONVENCIONAL;PRIVADO;1;B;3;0,00242784000;Alta;3;Avenida Torrencial;1:2.000
84;544980101000001680015000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00104406000;Alta;3;Avenida Torrencial;1:2.000
85;544980101000001680015000000000;CONVENCIONAL;PRIVADO;1;B;3;0,00057858800;Alta;3;Avenida Torrencial;1:2.000
86;544980101000000730002000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00633821000;Alta;3;Avenida Torrencial;1:2.000
87;544980101000001580024500000001;CONVENCIONAL;PRIVADO;2;B;3;0,00138411000;Alta;3;Avenida Torrencial;1:2.000
88;544980101000001580024500000003;CONVENCIONAL;PRIVADO;1;A;3;0,00015926200;Alta;3;Avenida Torrencial;1:2.000
89;544980101000001580024000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00047452600;Alta;3;Avenida Torrencial;1:2.000
90;544980101000001580024500000002;CONVENCIONAL;PRIVADO;1;A;3;0,00073221500;Alta;3;Avenida Torrencial;1:2.000
91;544980101000001580024000000000;CONVENCIONAL;PRIVADO;3;A;3;0,00048706200;Alta;3;Avenida Torrencial;1:2.000
92;544980101000001580024000000000;CONVENCIONAL;PRIVADO;1;B;3;0,00276742000;Alta;3;Avenida Torrencial;1:2.000
93;544980103000000020005000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00710520000;Alta;3;Avenida Torrencial;1:2.000
94;544980103000000020006000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00518841000;Alta;3;Avenida Torrencial;1:2.000
95;544980103000000020007000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00366276000;Alta;3;Avenida Torrencial;1:2.000
96;544980103000000050012000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00146758000;Alta;3;Avenida Torrencial;1:2.000
97;544980103000000050007000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00100982000;Alta;3;Avenida Torrencial;1:2.000
98;544980103000000050004000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00922174000;Alta;3;Avenida Torrencial;1:2.000
99;544980103000000050002000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00671088000;Alta;3;Avenida Torrencial;1:2.000
100;544980103000000050013000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00001821450;Alta;3;Avenida Torrencial;1:2.000
101;544980103000000050014000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00047680200;Alta;3;Avenida Torrencial;1:2.000
102;544980103000000050005000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00057367800;Alta;3;Avenida Torrencial;1:2.000
103;544980103000000050003000000000;CONVENCIONAL;PRIVADO;2;B;3;0,00003224420;Alta;3;Avenida Torrencial;1:2.000
104;544980103000001130002000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00195632000;Alta;3;Avenida Torrencial;1:2.000
105;544980103000001130003000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00602359000;Alta;3;Avenida Torrencial;1:2.000
